Station	AirQuality	Longitude	Latitude	O3Hour	O3Quality	O3Value	NO2Hour	NO2Quality	NO2Value	PM10Hour	PM10Quality	PM10Value	Generated	Date Time
Barcelo - Sants	Good	2.1331	41.3788				0h	Good	84				1/11/2018 0:00	1541027104
Barcelo - Eixample	Moderate	2.1538	41.3853	0h	Good	1	0h	Moderate	113	0h	Good	36	1/11/2018 0:00	1541027104
Barcelo - Gr??cia	Good	2.1534	41.3987	0h	Good	10	0h	Good	73				1/11/2018 0:00	1541027104
Barcelo - Ciutadella	Good	2.1874	41.3864	0h	Good	2	0h	Good	86				1/11/2018 0:00	1541027104
Barcelo - Vall Hebron	Good	2.148	41.4261	0h	Good	7	0h	Good	69				1/11/2018 0:00	1541027104
Barcelo - Palau Reial	Good	2.1151	41.3875	23h	Good	11	23h	Good	57	23h	Good	23	1/11/2018 0:00	1541027104
Barcelo - Poblenou	Good	2.2045	41.4039				23h	Good	86	23h	Good	32	1/11/2018 0:00	1541027104
Barcelo - Observ Fabra	Good	2.1239	41.4183	23h	Good	58	23h	Good	3	23h	Good	25	1/11/2018 0:00	1541027104
Barcelo - Sants	Good	2.1331	41.3788				0h	Good	62				1/11/2018 1:00	1541030725
Barcelo - Eixample	Good	2.1538	41.3853	0h	Good	6	0h	Good	80	1h	Good	35	1/11/2018 1:00	1541030725
Barcelo - Gr??cia	Good	2.1534	41.3987	0h	Good	21	0h	Good	59				1/11/2018 1:00	1541030725
Barcelo - Ciutadella	Good	2.1874	41.3864	0h	Good	4	0h	Good	78				1/11/2018 1:00	1541030725
Barcelo - Vall Hebron	Good	2.148	41.4261	0h	Good	29	0h	Good	45				1/11/2018 1:00	1541030725
Barcelo - Palau Reial	Good	2.1151	41.3875	0h	Good	27	0h	Good	38	1h	Good	24	1/11/2018 1:00	1541030725
Barcelo - Poblenou	Good	2.2045	41.4039				0h	Good	75	1h	Good	32	1/11/2018 1:00	1541030725
Barcelo - Observ Fabra	Good	2.1239	41.4183	0h	Good	87	0h	Good	8	1h	Good	25	1/11/2018 1:00	1541030725
Barcelo - Sants	Good	2.1331	41.3788				1h	Good	46				1/11/2018 2:00	1541034303
Barcelo - Eixample	Good	2.1538	41.3853	1h	Good	14	1h	Good	64	1h	Good	34	1/11/2018 2:00	1541034303
Barcelo - Gr??cia	Good	2.1534	41.3987	1h	Good	32	1h	Good	41				1/11/2018 2:00	1541034303
Barcelo - Ciutadella	Good	2.1874	41.3864	1h	Good	24	1h	Good	56				1/11/2018 2:00	1541034303
Barcelo - Vall Hebron	Good	2.148	41.4261	1h	Good	47	1h	Good	27				1/11/2018 2:00	1541034303
Barcelo - Palau Reial	Good	2.1151	41.3875	1h	Good	34	1h	Good	28	2h	Good	24	1/11/2018 2:00	1541034303
Barcelo - Poblenou	Good	2.2045	41.4039				1h	Good	51	2h	Good	32	1/11/2018 2:00	1541034303
Barcelo - Observ Fabra	Good	2.1239	41.4183	1h	Good	77	1h	Good	11	2h	Good	25	1/11/2018 2:00	1541034303
Barcelo - Sants	Good	2.1331	41.3788				1h	Good	46				1/11/2018 3:00	1541037902
Barcelo - Eixample	Good	2.1538	41.3853	2h	Good	32	2h	Good	44	3h	Good	35	1/11/2018 3:00	1541037902
Barcelo - Gr??cia	Good	2.1534	41.3987	2h	Good	48	2h	Good	27				1/11/2018 3:00	1541037902
Barcelo - Ciutadella	Good	2.1874	41.3864	2h	Good	45	2h	Good	29				1/11/2018 3:00	1541037902
Barcelo - Vall Hebron	Good	2.148	41.4261	2h	Good	65	2h	Good	14				1/11/2018 3:00	1541037902
Barcelo - Palau Reial	Good	2.1151	41.3875	2h	Good	38	2h	Good	19	3h	Good	24	1/11/2018 3:00	1541037902
Barcelo - Poblenou	Good	2.2045	41.4039				2h	Good	34	3h	Good	31	1/11/2018 3:00	1541037902
Barcelo - Observ Fabra	Good	2.1239	41.4183	2h	Good	83	2h	Good	6	2h	Good	24	1/11/2018 3:00	1541037902
Barcelo - Sants	--	2.1331	41.3788				2h	--					1/11/2018 4:00	1541041503
Barcelo - Eixample	Good	2.1538	41.3853	3h	Good	43	3h	Good	34	4h	Good	34	1/11/2018 4:00	1541041503
Barcelo - Gr??cia	Good	2.1534	41.3987	3h	Good	58	3h	Good	18				1/11/2018 4:00	1541041503
Barcelo - Ciutadella	Good	2.1874	41.3864	3h	Good	61	3h	Good	19				1/11/2018 4:00	1541041503
Barcelo - Vall Hebron	Good	2.148	41.4261	3h	Good	70	3h	Good	11				1/11/2018 4:00	1541041503
Barcelo - Palau Reial	Good	2.1151	41.3875	3h	Good	57	3h	Good	7	4h	Good	23	1/11/2018 4:00	1541041503
Barcelo - Poblenou	Good	2.2045	41.4039				3h	Good	20	4h	Good	30	1/11/2018 4:00	1541041503
Barcelo - Observ Fabra	Good	2.1239	41.4183	3h	Good	83	3h	Good	4	4h	Good	23	1/11/2018 4:00	1541041503
Barcelo - Sants	--	2.1331	41.3788				2h	--					1/11/2018 5:00	1541045102
Barcelo - Eixample	Good	2.1538	41.3853	4h	Good	45	4h	Good	26	4h	Good	33	1/11/2018 5:00	1541045102
Barcelo - Gr??cia	Good	2.1534	41.3987	4h	Good	58	4h	Good	16				1/11/2018 5:00	1541045102
Barcelo - Ciutadella	Good	2.1874	41.3864	4h	Good	50	4h	Good	26				1/11/2018 5:00	1541045102
Barcelo - Vall Hebron	Good	2.148	41.4261	4h	Good	69	4h	Good	7				1/11/2018 5:00	1541045102
Barcelo - Palau Reial	Good	2.1151	41.3875	4h	Good	48	4h	Good	8	5h	Good	21	1/11/2018 5:00	1541045102
Barcelo - Poblenou	Good	2.2045	41.4039				4h	Good	25	5h	Good	27	1/11/2018 5:00	1541045102
Barcelo - Observ Fabra	Good	2.1239	41.4183	4h	Good	81	4h	Good	2	5h	Good	18	1/11/2018 5:00	1541045102
Barcelo - Sants	--	2.1331	41.3788				4h	--					1/11/2018 6:00	1541048703
Barcelo - Eixample	Good	2.1538	41.3853	5h	Good	37	5h	Good	31	6h	Good	27	1/11/2018 6:00	1541048703
Barcelo - Gr??cia	Good	2.1534	41.3987	5h	Good	51	5h	Good	19				1/11/2018 6:00	1541048703
Barcelo - Ciutadella	Good	2.1874	41.3864	5h	Good	52	5h	Good	18				1/11/2018 6:00	1541048703
Barcelo - Vall Hebron	Good	2.148	41.4261	5h	Good	63	5h	Good	8				1/11/2018 6:00	1541048703
Barcelo - Palau Reial	Good	2.1151	41.3875	5h	Good	41	5h	Good	11	6h	Good	17	1/11/2018 6:00	1541048703
Barcelo - Poblenou	Good	2.2045	41.4039				5h	Good	27	6h	Good	24	1/11/2018 6:00	1541048703
Barcelo - Observ Fabra	Good	2.1239	41.4183	5h	Good	77	5h	Good	2	5h	Good	18	1/11/2018 6:00	1541048703
Barcelo - Sants	Good	2.1331	41.3788				6h	Good	17				1/11/2018 7:00	1541052302
Barcelo - Eixample	Good	2.1538	41.3853	6h	Good	24	6h	Good	37	7h	Good	25	1/11/2018 7:00	1541052302
Barcelo - Gr??cia	Good	2.1534	41.3987	6h	Good	45	6h	Good	19				1/11/2018 7:00	1541052302
Barcelo - Ciutadella	Good	2.1874	41.3864	6h	Good	46	6h	Good	17				1/11/2018 7:00	1541052302
Barcelo - Vall Hebron	Good	2.148	41.4261	6h	Good	54	6h	Good	11				1/11/2018 7:00	1541052302
Barcelo - Palau Reial	Good	2.1151	41.3875	6h	Good	28	6h	Good	17	7h	Good	15	1/11/2018 7:00	1541052302
Barcelo - Poblenou	Good	2.2045	41.4039				6h	Good	22	7h	Good	21	1/11/2018 7:00	1541052302
Barcelo - Observ Fabra	Good	2.1239	41.4183	6h	Good	69	6h	Good	2	7h	Good	10	1/11/2018 7:00	1541052302
Barcelo - Sants	Good	2.1331	41.3788				7h	Good	25				1/11/2018 8:00	1541055903
Barcelo - Eixample	Good	2.1538	41.3853	7h	Good	18	7h	Good	42	7h	Good	24	1/11/2018 8:00	1541055903
Barcelo - Gr??cia	Good	2.1534	41.3987	7h	Good	39	7h	Good	21				1/11/2018 8:00	1541055903
Barcelo - Ciutadella	Good	2.1874	41.3864	7h	Good	36	7h	Good	21				1/11/2018 8:00	1541055903
Barcelo - Vall Hebron	Good	2.148	41.4261	7h	Good	37	7h	Good	26				1/11/2018 8:00	1541055903
Barcelo - Palau Reial	Good	2.1151	41.3875	7h	Good	10	7h	Good	34	8h	Good	13	1/11/2018 8:00	1541055903
Barcelo - Poblenou	Good	2.2045	41.4039				7h	Good	22	8h	Good	20	1/11/2018 8:00	1541055903
Barcelo - Observ Fabra	Good	2.1239	41.4183	7h	Good	67	7h	Good	2	8h	Good	8	1/11/2018 8:00	1541055903
Barcelo - Sants	Good	2.1331	41.3788				8h	Good	45				1/11/2018 9:00	1541059503
Barcelo - Eixample	Good	2.1538	41.3853	8h	Good	6	8h	Good	52	9h	Good	21	1/11/2018 9:00	1541059503
Barcelo - Gr??cia	Good	2.1534	41.3987	8h	Good	17	8h	Good	43				1/11/2018 9:00	1541059503
Barcelo - Ciutadella	Good	2.1874	41.3864	8h	Good	18	8h	Good	34				1/11/2018 9:00	1541059503
Barcelo - Vall Hebron	Good	2.148	41.4261	8h	Good	8	8h	Good	59				1/11/2018 9:00	1541059503
Barcelo - Palau Reial	Good	2.1151	41.3875	8h	Good	7	8h	Good	36	9h	Good	12	1/11/2018 9:00	1541059503
Barcelo - Poblenou	Good	2.2045	41.4039				8h	Good	31	9h	Good	18	1/11/2018 9:00	1541059503
Barcelo - Observ Fabra	Good	2.1239	41.4183	8h	Good	67	8h	Good	3	8h	Good	8	1/11/2018 9:00	1541059503
Barcelo - Sants	Good	2.1331	41.3788				9h	Good	35				1/11/2018 10:00	1541063103
Barcelo - Eixample	Good	2.1538	41.3853	9h	Good	3	9h	Good	60	10h	Good	20	1/11/2018 10:00	1541063103
Barcelo - Gr??cia	Good	2.1534	41.3987	9h	Good	14	9h	Good	49				1/11/2018 10:00	1541063103
Barcelo - Ciutadella	Good	2.1874	41.3864	9h	Good	24	9h	Good	34				1/11/2018 10:00	1541063103
Barcelo - Vall Hebron	Good	2.148	41.4261	9h	Good	14	9h	Good	51				1/11/2018 10:00	1541063103
Barcelo - Palau Reial	Good	2.1151	41.3875	9h	Good	21	9h	Good	15	10h	Good	11	1/11/2018 10:00	1541063103
Barcelo - Poblenou	Good	2.2045	41.4039				9h	Good	37	10h	Good	17	1/11/2018 10:00	1541063103
Barcelo - Observ Fabra	Good	2.1239	41.4183	9h	Good	69	9h	Good	3	10h	Good	6	1/11/2018 10:00	1541063103
Barcelo - Sants	Good	2.1331	41.3788				10h	Good	23				1/11/2018 11:00	1541066703
Barcelo - Eixample	Good	2.1538	41.3853	10h	Good	12	10h	Good	64	10h	Good	19	1/11/2018 11:00	1541066703
Barcelo - Gr??cia	Good	2.1534	41.3987	10h	Good	32	10h	Good	33				1/11/2018 11:00	1541066703
Barcelo - Ciutadella	Good	2.1874	41.3864	10h	Good	34	10h	Good	25				1/11/2018 11:00	1541066703
Barcelo - Vall Hebron	Good	2.148	41.4261	10h	Good	44	10h	Good	15				1/11/2018 11:00	1541066703
Barcelo - Palau Reial	Good	2.1151	41.3875	10h	Good	33	10h	Good	11	10h	Good	12	1/11/2018 11:00	1541066703
Barcelo - Poblenou	Good	2.2045	41.4039				10h	Good	28	10h	Good	16	1/11/2018 11:00	1541066703
Barcelo - Observ Fabra	Good	2.1239	41.4183	10h	Good	64	10h	Good	7	11h	Good	6	1/11/2018 11:00	1541066703
Barcelo - Sants	Good	2.1331	41.3788				11h	Good	31				1/11/2018 12:00	1541070303
Barcelo - Eixample	Good	2.1538	41.3853	11h	Good	22	11h	Good	50	12h	Good	18	1/11/2018 12:00	1541070303
Barcelo - Gr??cia	Good	2.1534	41.3987	11h	Good	30	11h	Good	37				1/11/2018 12:00	1541070303
Barcelo - Ciutadella	Good	2.1874	41.3864	11h	Good	35	11h	Good	21				1/11/2018 12:00	1541070303
Barcelo - Vall Hebron	Good	2.148	41.4261	11h	Good	47	11h	Good	13				1/11/2018 12:00	1541070303
Barcelo - Palau Reial	Good	2.1151	41.3875	11h	Good	38	11h	Good	19	12h	Good	11	1/11/2018 12:00	1541070303
Barcelo - Poblenou	Good	2.2045	41.4039				11h	Good	29	12h	Good	15	1/11/2018 12:00	1541070303
Barcelo - Observ Fabra	Good	2.1239	41.4183	11h	Good	68	11h	Good	3	12h	Good	7	1/11/2018 12:00	1541070303
Barcelo - Sants	Good	2.1331	41.3788				12h	Good	14				1/11/2018 13:00	1541073903
Barcelo - Eixample	Good	2.1538	41.3853	12h	Good	29	12h	Good	35	13h	Good	18	1/11/2018 13:00	1541073903
Barcelo - Gr??cia	Good	2.1534	41.3987	12h	Good	46	12h	Good	21				1/11/2018 13:00	1541073903
Barcelo - Ciutadella	Good	2.1874	41.3864	12h	Good	41	12h	Good	16				1/11/2018 13:00	1541073903
Barcelo - Vall Hebron	Good	2.148	41.4261	12h	Good	47	12h	Good	15				1/11/2018 13:00	1541073903
Barcelo - Palau Reial	Good	2.1151	41.3875	12h	Good	44	12h	Good	5	13h	Good	11	1/11/2018 13:00	1541073903
Barcelo - Poblenou	Good	2.2045	41.4039				12h	Good	20	13h	Good	14	1/11/2018 13:00	1541073903
Barcelo - Observ Fabra	Good	2.1239	41.4183	12h	Good	62	12h	Good	5	13h	Good	6	1/11/2018 13:00	1541073903
Barcelo - Sants	Good	2.1331	41.3788				13h	Good	9				1/11/2018 14:00	1541077503
Barcelo - Eixample	Good	2.1538	41.3853	13h	Good	38	13h	Good	26	14h	Good	17	1/11/2018 14:00	1541077503
Barcelo - Gr??cia	Good	2.1534	41.3987	13h	Good	54	13h	Good	14				1/11/2018 14:00	1541077503
Barcelo - Ciutadella	Good	2.1874	41.3864	13h	Good	53	13h	Good	11				1/11/2018 14:00	1541077503
Barcelo - Vall Hebron	Good	2.148	41.4261	13h	Good	62	13h	Good	10				1/11/2018 14:00	1541077503
Barcelo - Palau Reial	Good	2.1151	41.3875	13h	Good	54	13h	Good	1	13h	Good	10	1/11/2018 14:00	1541077503
Barcelo - Poblenou	Good	2.2045	41.4039				13h	Good	14	13h	Good	14	1/11/2018 14:00	1541077503
Barcelo - Observ Fabra	Good	2.1239	41.4183	13h	Good	69	13h	Good	3	14h	Good	6	1/11/2018 14:00	1541077503
Barcelo - Sants	Good	2.1331	41.3788				14h	Good	10				1/11/2018 15:00	1541081103
Barcelo - Eixample	Good	2.1538	41.3853	14h	Good	39	14h	Good	33	15h	Good	16	1/11/2018 15:00	1541081103
Barcelo - Gr??cia	Good	2.1534	41.3987	14h	Good	54	14h	Good	14				1/11/2018 15:00	1541081103
Barcelo - Ciutadella	Good	2.1874	41.3864	14h	Good	58	14h	Good	10				1/11/2018 15:00	1541081103
Barcelo - Vall Hebron	Good	2.148	41.4261	14h	Good	63	14h	Good	9				1/11/2018 15:00	1541081103
Barcelo - Palau Reial	Good	2.1151	41.3875	14h	Good	54	14h	Good	2	15h	Good	10	1/11/2018 15:00	1541081103
Barcelo - Poblenou	Good	2.2045	41.4039				14h	Good	17	15h	Good	11	1/11/2018 15:00	1541081103
Barcelo - Observ Fabra	Good	2.1239	41.4183	14h	Good	69	14h	Good	4	15h	Good	6	1/11/2018 15:00	1541081103
Barcelo - Sants	Good	2.1331	41.3788				15h	Good	9				1/11/2018 16:00	1541084703
Barcelo - Eixample	Good	2.1538	41.3853	15h	Good	39	15h	Good	31	16h	Good	16	1/11/2018 16:00	1541084703
Barcelo - Gr??cia	Good	2.1534	41.3987	15h	Good	55	15h	Good	12				1/11/2018 16:00	1541084703
Barcelo - Ciutadella	Good	2.1874	41.3864	15h	Good	61	15h	Good	11				1/11/2018 16:00	1541084703
Barcelo - Vall Hebron	Good	2.148	41.4261	15h	Good	63	15h	Good	8				1/11/2018 16:00	1541084703
Barcelo - Palau Reial	Good	2.1151	41.3875	15h	Good	56	15h	Good	2	16h	Good	10	1/11/2018 16:00	1541084703
Barcelo - Poblenou	Good	2.2045	41.4039				15h	Good	14	16h	Good	10	1/11/2018 16:00	1541084703
Barcelo - Observ Fabra	Good	2.1239	41.4183	15h	Good	69	15h	Good	4	16h	Good	6	1/11/2018 16:00	1541084703
Barcelo - Sants	Good	2.1331	41.3788				16h	Good	9				1/11/2018 17:00	1541088303
Barcelo - Eixample	Good	2.1538	41.3853	16h	Good	39	16h	Good	33	17h	Good	15	1/11/2018 17:00	1541088303
Barcelo - Gr??cia	Good	2.1534	41.3987	16h	Good	51	16h	Good	16				1/11/2018 17:00	1541088303
Barcelo - Ciutadella	Good	2.1874	41.3864	16h	Good	58	16h	Good	10				1/11/2018 17:00	1541088303
Barcelo - Vall Hebron	Good	2.148	41.4261	16h	Good	62	16h	Good	9				1/11/2018 17:00	1541088303
Barcelo - Palau Reial	Good	2.1151	41.3875	16h	Good	54	16h	Good	3	16h	Good	9	1/11/2018 17:00	1541088303
Barcelo - Poblenou	Good	2.2045	41.4039				16h	Good	14	16h	Good	9	1/11/2018 17:00	1541088303
Barcelo - Observ Fabra	Good	2.1239	41.4183	16h	Good	70	16h	Good	3	17h	Good	6	1/11/2018 17:00	1541088303
Barcelo - Sants	Good	2.1331	41.3788				17h	Good	14				1/11/2018 18:00	1541091903
Barcelo - Eixample	Good	2.1538	41.3853	17h	Good	38	17h	Good	37	18h	Good	14	1/11/2018 18:00	1541091903
Barcelo - Gr??cia	Good	2.1534	41.3987	17h	Good	49	17h	Good	21				1/11/2018 18:00	1541091903
Barcelo - Ciutadella	Good	2.1874	41.3864	17h	Good	54	17h	Good	16				1/11/2018 18:00	1541091903
Barcelo - Vall Hebron	Good	2.148	41.4261	17h	Good	54	17h	Good	15				1/11/2018 18:00	1541091903
Barcelo - Palau Reial	Good	2.1151	41.3875	17h	Good	54	17h	Good	3	18h	Good	9	1/11/2018 18:00	1541091903
Barcelo - Poblenou	Good	2.2045	41.4039				17h	Good	18	18h	Good	8	1/11/2018 18:00	1541091903
Barcelo - Observ Fabra	Good	2.1239	41.4183	17h	Good	71	17h	Good	5	18h	Good	6	1/11/2018 18:00	1541091903
Barcelo - Sants	Good	2.1331	41.3788				18h	Good	29				1/11/2018 19:00	1541095503
Barcelo - Eixample	Good	2.1538	41.3853	17h	Good	38	17h	Good	37	19h	Good	13	1/11/2018 19:00	1541095503
Barcelo - Gr??cia	Good	2.1534	41.3987	18h	Good	49	18h	Good	28				1/11/2018 19:00	1541095503
Barcelo - Ciutadella	Good	2.1874	41.3864	18h	Good	46	18h	Good	16				1/11/2018 19:00	1541095503
Barcelo - Vall Hebron	Good	2.148	41.4261	18h	Good	18	18h	Good	58				1/11/2018 19:00	1541095503
Barcelo - Palau Reial	Good	2.1151	41.3875	18h	Good	30	18h	Good	23	19h	Good	9	1/11/2018 19:00	1541095503
Barcelo - Poblenou	Good	2.2045	41.4039				18h	Good	19	19h	Good	7	1/11/2018 19:00	1541095503
Barcelo - Observ Fabra	Good	2.1239	41.4183	18h	Good	57	18h	Good	20	19h	Good	6	1/11/2018 19:00	1541095503
Barcelo - Sants	Good	2.1331	41.3788				19h	Good	35				1/11/2018 20:00	1541099103
Barcelo - Eixample	Good	2.1538	41.3853	18h	--		18h	--		20h	Good	13	1/11/2018 20:00	1541099103
Barcelo - Gr??cia	Good	2.1534	41.3987	19h	Good	38	19h	Good	37				1/11/2018 20:00	1541099103
Barcelo - Ciutadella	Good	2.1874	41.3864	19h	Good	38	19h	Good	23				1/11/2018 20:00	1541099103
Barcelo - Vall Hebron	Good	2.148	41.4261	19h	Good	2	19h	Good	72				1/11/2018 20:00	1541099103
Barcelo - Palau Reial	Good	2.1151	41.3875	19h	Good	15	19h	Good	40	19h	Good	9	1/11/2018 20:00	1541099103
Barcelo - Poblenou	Good	2.2045	41.4039				19h	Good	33	19h	Good	8	1/11/2018 20:00	1541099103
Barcelo - Observ Fabra	Good	2.1239	41.4183	19h	Good	65	19h	Good	15	19h	Good	6	1/11/2018 20:00	1541099103
Barcelo - Sants	Good	2.1331	41.3788				20h	Good	66				1/11/2018 21:00	1541102702
Barcelo - Eixample	Good	2.1538	41.3853	19h	--		19h	--		21h	Good	12	1/11/2018 21:00	1541102702
Barcelo - Gr??cia	Good	2.1534	41.3987	20h	Good	8	20h	Good	67				1/11/2018 21:00	1541102702
Barcelo - Ciutadella	Good	2.1874	41.3864	20h	Good	34	20h	Good	31				1/11/2018 21:00	1541102702
Barcelo - Vall Hebron	Good	2.148	41.4261	20h	Good	2	20h	Good	73				1/11/2018 21:00	1541102702
Barcelo - Palau Reial	Good	2.1151	41.3875	20h	Good	23	20h	Good	31	21h	Good	8	1/11/2018 21:00	1541102702
Barcelo - Poblenou	Good	2.2045	41.4039				20h	Good	56	21h	Good	7	1/11/2018 21:00	1541102702
Barcelo - Observ Fabra	Good	2.1239	41.4183	20h	Good	69	20h	Good	13	21h	Good	6	1/11/2018 21:00	1541102702
Barcelo - Sants	Good	2.1331	41.3788				21h	Good	73				1/11/2018 22:00	1541106303
Barcelo - Eixample	Good	2.1538	41.3853	19h	--		19h	--		21h	Good	12	1/11/2018 22:00	1541106303
Barcelo - Gr??cia	Good	2.1534	41.3987	21h	Good	5	21h	Good	70				1/11/2018 22:00	1541106303
Barcelo - Ciutadella	Good	2.1874	41.3864	21h	Good	3	21h	Good	69				1/11/2018 22:00	1541106303
Barcelo - Vall Hebron	Good	2.148	41.4261	21h	Good	7	21h	Good	66				1/11/2018 22:00	1541106303
Barcelo - Palau Reial	Good	2.1151	41.3875	21h	Good	18	21h	Good	38	22h	Good	9	1/11/2018 22:00	1541106303
Barcelo - Poblenou	Good	2.2045	41.4039				21h	Good	73	22h	Good	7	1/11/2018 22:00	1541106303
Barcelo - Observ Fabra	Good	2.1239	41.4183	21h	Good	77	21h	Good	4	22h	Good	6	1/11/2018 22:00	1541106303
Barcelo - Sants	--	2.1331	41.3788										1/11/2018 23:00	1541109903
Barcelo - Eixample	Good	2.1538	41.3853							23h	Good	13	1/11/2018 23:00	1541109903
Barcelo - Gr??cia	--	2.1534	41.3987										1/11/2018 23:00	1541109903
Barcelo - Ciutadella	--	2.1874	41.3864										1/11/2018 23:00	1541109903
Barcelo - Vall Hebron	--	2.148	41.4261										1/11/2018 23:00	1541109903
Barcelo - Palau Reial	Good	2.1151	41.3875							23h	Good	9	1/11/2018 23:00	1541109903
Barcelo - Poblenou	Good	2.2045	41.4039							23h	Good	7	1/11/2018 23:00	1541109903
Barcelo - Observ Fabra	Good	2.1239	41.4183	22h	Good	61	22h	Good	13	22h	Good	6	1/11/2018 23:00	1541109903
Barcelo - Sants	Good	2.1331	41.3788				0h	Good	41				2/11/2018 0:00	1541113503
Barcelo - Eixample	Good	2.1538	41.3853	0h	Good	13	0h	Good	52	0h	Good	13	2/11/2018 0:00	1541113503
Barcelo - Gr??cia	Good	2.1534	41.3987	0h	Good	19	0h	Good	42				2/11/2018 0:00	1541113503
Barcelo - Ciutadella	Good	2.1874	41.3864	0h	Good	14	0h	Good	50				2/11/2018 0:00	1541113503
Barcelo - Vall Hebron	Good	2.148	41.4261	0h	Good	30	0h	Good	29				2/11/2018 0:00	1541113503
Barcelo - Palau Reial	Good	2.1151	41.3875	0h	Good	31	0h	Good	19	0h	Good	9	2/11/2018 0:00	1541113503
Barcelo - Poblenou	Good	2.2045	41.4039				0h	Good	53	0h	Good	8	2/11/2018 0:00	1541113503
Barcelo - Observ Fabra	Good	2.1239	41.4183	0h	Good	66	0h	Good	6	0h	Good	7	2/11/2018 0:00	1541113503
Barcelo - Sants	Good	2.1331	41.3788				0h	Good	41				2/11/2018 1:00	1541117103
Barcelo - Eixample	Good	2.1538	41.3853	0h	Good	4	0h	Good	57	0h	Good	13	2/11/2018 1:00	1541117103
Barcelo - Gr??cia	Good	2.1534	41.3987	0h	Good	20	0h	Good	38				2/11/2018 1:00	1541117103
Barcelo - Ciutadella	Good	2.1874	41.3864	0h	Good	11	0h	Good	48				2/11/2018 1:00	1541117103
Barcelo - Vall Hebron	Good	2.148	41.4261	0h	Good	31	0h	Good	22				2/11/2018 1:00	1541117103
Barcelo - Palau Reial	Good	2.1151	41.3875	0h	Good	22	0h	Good	25	1h	Good	9	2/11/2018 1:00	1541117103
Barcelo - Poblenou	Good	2.2045	41.4039				0h	Good	47	1h	Good	8	2/11/2018 1:00	1541117103
Barcelo - Observ Fabra	Good	2.1239	41.4183	0h	Good	72	0h	Good	3	1h	Good	7	2/11/2018 1:00	1541117103
Barcelo - Sants	--	2.1331	41.3788				0h	--					2/11/2018 2:00	1541120703
Barcelo - Eixample	Good	2.1538	41.3853	1h	Good	4	1h	Good	65	2h	Good	14	2/11/2018 2:00	1541120703
Barcelo - Gr??cia	Good	2.1534	41.3987	1h	Good	28	1h	Good	29				2/11/2018 2:00	1541120703
Barcelo - Ciutadella	Good	2.1874	41.3864	1h	Good	16	1h	Good	40				2/11/2018 2:00	1541120703
Barcelo - Vall Hebron	Good	2.148	41.4261	1h	Good	40	1h	Good	15				2/11/2018 2:00	1541120703
Barcelo - Palau Reial	Good	2.1151	41.3875	1h	Good	47	1h	Good	4	2h	Good	9	2/11/2018 2:00	1541120703
Barcelo - Poblenou	Good	2.2045	41.4039				1h	Good	45	2h	Good	9	2/11/2018 2:00	1541120703
Barcelo - Observ Fabra	Good	2.1239	41.4183	1h	Good	70	1h	Good	3	1h	Good	7	2/11/2018 2:00	1541120703
Barcelo - Sants	--	2.1331	41.3788				1h	--					2/11/2018 3:00	1541124303
Barcelo - Eixample	Good	2.1538	41.3853	2h	Good	10	2h	Good	48	3h	Good	14	2/11/2018 3:00	1541124303
Barcelo - Gr??cia	Good	2.1534	41.3987	2h	Good	32	2h	Good	24				2/11/2018 3:00	1541124303
Barcelo - Ciutadella	Good	2.1874	41.3864	2h	Good	27	2h	Good	24				2/11/2018 3:00	1541124303
Barcelo - Vall Hebron	Good	2.148	41.4261	2h	Good	47	2h	Good	9				2/11/2018 3:00	1541124303
Barcelo - Palau Reial	Good	2.1151	41.3875	2h	Good	50	2h	Good	2	3h	Good	9	2/11/2018 3:00	1541124303
Barcelo - Poblenou	Good	2.2045	41.4039				2h	Good	41	3h	Good	9	2/11/2018 3:00	1541124303
Barcelo - Observ Fabra	Good	2.1239	41.4183	2h	Good	72	2h	Good	2	3h	Good	7	2/11/2018 3:00	1541124303
Barcelo - Sants	--	2.1331	41.3788				1h	--					2/11/2018 4:00	1541127903
Barcelo - Eixample	Good	2.1538	41.3853	3h	Good	3	3h	Good	52	3h	Good	14	2/11/2018 4:00	1541127903
Barcelo - Gr??cia	Good	2.1534	41.3987	3h	Good	28	3h	Good	25				2/11/2018 4:00	1541127903
Barcelo - Ciutadella	Good	2.1874	41.3864	3h	Good	28	3h	Good	20				2/11/2018 4:00	1541127903
Barcelo - Vall Hebron	Good	2.148	41.4261	3h	Good	41	3h	Good	14				2/11/2018 4:00	1541127903
Barcelo - Palau Reial	Good	2.1151	41.3875	3h	Good	43	3h	Good	6	4h	Good	9	2/11/2018 4:00	1541127903
Barcelo - Poblenou	Good	2.2045	41.4039				3h	Good	33	4h	Good	9	2/11/2018 4:00	1541127903
Barcelo - Observ Fabra	Good	2.1239	41.4183	3h	Good	72	3h	Good	2	4h	Good	7	2/11/2018 4:00	1541127903
Barcelo - Sants	--	2.1331	41.3788				3h	--					2/11/2018 5:00	1541131503
Barcelo - Eixample	Good	2.1538	41.3853	4h	Good	2	4h	Good	52	5h	Good	15	2/11/2018 5:00	1541131503
Barcelo - Gr??cia	Good	2.1534	41.3987	4h	Good	20	4h	Good	33				2/11/2018 5:00	1541131503
Barcelo - Ciutadella	Good	2.1874	41.3864	4h	Good	14	4h	Good	28				2/11/2018 5:00	1541131503
